Operand,Value,Delta
OX,236432.0,-2140.0
CX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,246593.0,-12301.0
OX,236432.0,-2140.0
CX,283963.0,-49671.0
OX,279384.0,-45092.0
OX,236432.0,-2140.0
OX,260957.0,-26665.0
PMX,253211.0,-18919.0
CX,283963.0,-49671.0
OX,260957.0,-26665.0
CX,236432.0,-2140.0
CX,236432.0,-2140.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,296701.0,-62409.0
OX,236432.0,-2140.0
PMX,279925.0,-45633.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
CX,272661.0,-38369.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
OX,296156.0,-61864.0
PMX,302513.0,-68221.0
OX,266185.0,-31893.0
CX,249115.0,-14823.0
CX,236432.0,-2140.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
